"fallecidos","siniestros","parque_vehicular"
"1792","-1.0194932083209","-1.1231221125957"
"1719","-1.1817260945966","-1.1120587989124"
"1269","-1.4377412806995","-1.1031532731859"
"1054","-1.525378016926","-1.0935063400211"
"1079","-1.4697181969965","-1.079982962051"
"1071","-1.373687520242","-1.0480074410706"
"1207","-1.3744369792178","-0.99777775146754"
"1309","-1.2803548958001","-0.98526018968173"
"1434","-1.0755027757724","-0.85999820715787"
"1552","-0.67928879727976","-0.8162458674864"
"1274","0.4067272224575","-0.78322068364528"
"1363","0.03784351461244","-0.78082173896804"
"1210","-0.39594334052921","-0.77145648748229"
"1049","-0.81843834710347","-0.7620845925607"
"1191","-0.59275126755097","-0.75012640807155"
"1198","-0.71656189033846","-0.74382975959443"
"1248","-0.64481368439704","-0.73466115380917"
"1465","-0.49537156464023","-0.7131284496057"
"1587","-0.38235315110298","-0.67594314624952"
"1602","-0.33793521580916","-0.60953137565827"
"1700","-0.18634464698864","-0.48841556143423"
"1760","-0.11464640497893","-0.40894346035008"
"1762","-0.1446747279391","-0.38713372487262"
"1890","0.18278888051499","-0.27438266069874"
"1925","0.53178694353784","-0.17641722730212"
"1883","0.26293102698437","-0.068454751672568"
"1959","0.13782134197231","-0.0446293977651"
"1655","-0.0039762962322457","0.035707678663766"
"1698","-0.3100553419127","0.024691533374927"
"1562","-0.11494618856922","0.056344847717711"
"1549","-0.26968448508773","0.083955631359578"
"1703","-0.13398244655228","0.069217833320282"
"1757","-0.025560714732728","0.13747382169719"
"1626","-0.04015018279324","0.17271193401239"
"1652","-0.11454647711551","0.37615386935199"
"1645","0.32728457103211","0.48688532903436"
"1782","0.49741175851855","0.61874424333474"
"1508","0.45958906221099","0.69583334398763"
"1595","0.53033798951813","0.85290741897055"
"1573","0.78455447407937","1.0383948046433"
"1523","0.73244209330159","1.2504439754407"
"1623","1.3062778490378","1.4425528736025"
"1630","1.5645414120679","1.6455629856133"
"1646","1.6362396540776","1.7667831017799"
"1675","2.2273629301869","1.9061723505905"
"1483","2.3856486658571","2.0588112678151"
"1507","2.1074494940731","2.2635559809204"
"1617","2.1410252561849","2.40938869814"
